PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 Population Source Population_gp category color cat_gp group
0.0789707 -0.124168 -0.0290213 -0.036969 -0.0110626 -0.00119049 -0.00273622 -0.038492 0.00725228 -0.0101968 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0809861 -0.121639 -0.0304853 -0.0348868 -0.012268 -0.00392092 -0.00204777 -0.0564475 0.0132036 -0.00570714 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0803256 -0.119998 -0.0319675 -0.0331547 -0.00623916 -0.00259741 -0.00181033 -0.0388116 0.00871964 -0.00968938 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0813274 -0.123938 -0.0287328 -0.0343722 -0.00858548 0.000591689 -0.0014243 -0.0475387 0.00393273 4.04579e-05 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0816339 -0.123032 -0.031568 -0.0339919 3.25645e-05 -0.00514302 0.00135653 -0.0425437 -0.00033625 -0.0069434 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0783271 -0.119339 -0.0292376 -0.0347236 -0.0063627 -0.00137155 -0.00206779 -0.0291055 0.00343448 -0.00263834 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0787223 -0.119867 -0.0299898 -0.0342367 -0.0056517 -0.0045216 -0.00283967 -0.0387915 0.000554614 -0.00935434 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0816068 -0.122281 -0.0289051 -0.0367569 -0.0112704 -0.00199252 -0.00955299 -0.0463229 0.00762427 0.00125485 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0799993 -0.122077 -0.0315282 -0.033916 -0.000650255 -0.00161657 -0.00495624 -0.0480981 0.00690852 -0.00477002 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0806186 -0.120517 -0.031373 -0.0375243 -0.0085476 -0.000877463 0.00199151 -0.0373492 0.00367616 -0.00475393 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0807255 -0.123323 -0.0315609 -0.03599 -0.00778579 -0.00441793 -0.00290523 -0.0476726 0.00393319 0.000632126 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0802179 -0.120028 -0.0284862 -0.0335817 -0.00474728 -0.00410997 -0.00141491 -0.0348979 0.00802633 -0.000380583 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0786871 -0.121898 -0.0309219 -0.0350347 -0.00720976 -0.00493131 -0.00508907 -0.0446473 0.00889689 -0.00805199 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0823619 -0.124414 -0.0309725 -0.0375313 -0.00397056 0.000865955 0.00128149 -0.0453641 0.00671479 -0.000994536 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0798968 -0.122572 -0.0288809 -0.0348376 -0.0049052 -0.00234229 -0.00268043 -0.0440824 0.00765689 -0.00391146 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0811236 -0.121591 -0.0334103 -0.0396116 -0.00684217 -0.00506929 -0.00514555 -0.0420765 0.00617804 -0.00414916 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0812316 -0.123938 -0.0296635 -0.0386159 -0.00588001 -0.00391085 -0.00318492 -0.0390427 0.0024854 -0.00233997 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0803669 -0.123598 -0.0296849 -0.037355 -0.00923157 -0.00242296 -0.003011 -0.0340794 0.00658071 -0.00680236 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0806314 -0.120743 -0.0301202 -0.0374803 -0.00432386 -0.00618085 -0.00797636 -0.0445306 0.00400857 -0.00570574 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0819299 -0.118635 -0.0293667 -0.0341189 -0.0110811 -0.00316077 -0.00559847 -0.0373366 0.00289023 -0.00255853 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0810156 -0.121917 -0.0286781 -0.0363673 -0.00484261 -0.00223547 -0.00429967 -0.0380826 0.0061491 -0.00835421 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0812771 -0.123111 -0.0326282 -0.0352003 -0.00676713 -0.00128752 -0.000303751 -0.0476683 0.00132766 -0.00768367 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0818319 -0.123403 -0.0311707 -0.0363867 -0.0121608 -0.00410603 -0.00159662 -0.0541808 0.00957428 -0.00597514 GBR 1000G EUR 1000G 1 1000G 1000G_EUR
0.0806688 -0.0993916 -0.0321226 -0.0320339 -0.0902755 -0.000383729 0.0027645 0.0392276 0.00230444 0.00600426 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0820656 -0.0959972 -0.030822 -0.0337436 -0.0921403 -2.21344e-05 -0.000297525 0.0344911 0.00312137 -0.00363632 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0814678 -0.10335 -0.0328308 -0.0338472 -0.0826034 -0.00428353 -0.00116675 0.0272275 -0.00147892 0.00153465 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0814726 -0.0988202 -0.0302179 -0.0308564 -0.101393 -0.00230457 0.00166921 0.0435012 -0.00301026 0.00375335 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0831565 -0.0930127 -0.0315271 -0.0338644 -0.107079 -0.000620222 0.00182286 0.0558802 -0.00412774 -5.28996e-05 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0805904 -0.0920021 -0.0284045 -0.031801 -0.10127 -0.00374918 0.0019455 0.0463082 -0.00245254 -0.0025134 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.081663 -0.102913 -0.0344447 -0.0351596 -0.0823897 -0.0027753 5.38669e-05 0.0248739 -0.00819089 0.00273358 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0831947 -0.103099 -0.035215 -0.0324218 -0.0868211 -0.00227781 -0.000236679 0.0343722 -0.00413658 -0.00460699 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.081748 -0.10249 -0.0329444 -0.0332538 -0.0772491 -0.00294297 0.00151971 0.0211791 -7.39121e-05 0.00197684 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0813538 -0.100047 -0.0338031 -0.0313396 -0.0929578 -0.00269285 6.06844e-05 0.0415047 -0.00362518 -0.00468847 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0836059 -0.1044 -0.0288531 -0.0302304 -0.064271 -0.00413098 0.000791722 0.00324856 0.00438663 0.000586844 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.082455 -0.0989877 -0.0289163 -0.0313078 -0.096229 -0.00405392 0.000994741 0.041328 -0.00131417 0.00238205 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0818816 -0.100188 -0.0321663 -0.032885 -0.0919633 -0.00353843 0.0011292 0.025986 -0.00264695 -0.00279429 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0835039 -0.10059 -0.0311556 -0.0306908 -0.0863214 -0.00467655 0.00218727 0.0342246 -0.00622243 0.00237234 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0816695 -0.0981445 -0.0306672 -0.0342418 -0.0921962 -0.00102111 -0.00125592 0.0316706 0.00101642 0.000610128 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0834458 -0.101675 -0.0306357 -0.0325256 -0.0895308 -0.00478308 0.00123743 0.0334003 -0.00474485 0.00492774 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0807784 -0.0956641 -0.0312201 -0.0316274 -0.096773 -0.00228606 0.000219404 0.0435144 -0.00398834 0.00616526 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
0.0845933 -0.0995674 -0.0291812 -0.0281945 -0.106152 -2.88008e-05 0.00480742 0.0454631 -0.00265828 0.00621706 FIN 1000G EUR 1000G 1 1000G 1000G_EUR
